Date,Open,High,Low,Close,Volume,Adj Close
2016-04-19,9.56,9.61,9.52,9.52,900,9.52
2016-04-18,9.55,9.55,9.55,9.55,000,9.55
2016-04-15,9.65,9.81,9.50,9.55,21500,9.55
2016-04-14,9.85,9.85,9.85,9.85,000,9.85
2016-04-13,9.85,9.85,9.85,9.85,000,9.85
2016-04-12,9.85,9.85,9.85,9.85,000,9.85
2016-04-11,9.85,9.85,9.85,9.85,000,9.85
2016-04-08,9.85,9.85,9.85,9.85,000,9.85
2016-04-07,9.65,9.85,9.55,9.85,14000,9.85
2016-04-06,9.85,9.85,9.85,9.85,000,9.85
2016-04-05,9.85,9.85,9.85,9.85,000,9.85
2016-04-04,9.85,9.85,9.85,9.85,2000,9.85
2016-04-01,9.80,9.80,9.80,9.80,000,9.80
2016-03-31,9.80,9.80,9.80,9.80,000,9.80
2016-03-30,9.80,9.80,9.80,9.80,000,9.80
2016-03-29,9.80,9.80,9.80,9.80,000,9.80
2016-03-28,9.80,9.80,9.80,9.80,000,9.80
2016-03-24,9.80,9.80,9.80,9.80,000,9.80
2016-03-23,9.80,9.80,9.80,9.80,000,9.80
2016-03-22,9.80,9.80,9.80,9.80,000,9.80
2016-03-21,9.80,9.80,9.80,9.80,000,9.80
2016-03-18,9.80,9.80,9.80,9.80,000,9.80
2016-03-17,9.78,9.80,9.78,9.80,1200,9.80
2016-03-16,9.80,9.80,9.80,9.80,000,9.80
2016-03-15,9.80,9.80,9.80,9.80,300,9.80
2016-03-14,9.74,9.74,9.74,9.74,000,9.74
2016-03-11,9.74,9.74,9.74,9.74,000,9.74
2016-03-10,9.76,9.78,9.74,9.74,1000,9.74
2016-03-09,9.80,9.80,9.55,9.57,11700,9.57
2016-03-08,9.75,9.75,9.75,9.75,000,9.75
2016-03-07,9.75,9.75,9.75,9.75,5000,9.75
2016-03-04,9.70,9.70,9.70,9.70,000,9.70
2016-03-03,9.70,9.70,9.70,9.70,5000,9.70
2016-03-02,9.60,9.70,9.60,9.625,5300,9.625
2016-03-01,9.80,9.80,9.80,9.80,000,9.80
2016-02-29,9.70,9.80,9.70,9.80,2600,9.80
2016-02-26,9.80,9.80,9.80,9.80,000,9.80
2016-02-25,9.80,9.80,9.80,9.80,000,9.80
2016-02-24,9.80,9.80,9.80,9.80,000,9.80
2016-02-23,9.80,9.80,9.80,9.80,000,9.80
2016-02-22,9.53,9.80,9.53,9.80,2300,9.80
2016-02-19,9.80,9.80,9.80,9.80,000,9.80
2016-02-18,9.51,9.80,9.51,9.80,50000,9.80
2016-02-17,9.75,9.75,9.75,9.75,000,9.75
2016-02-16,9.75,9.75,9.75,9.75,000,9.75
2016-02-12,9.75,9.75,9.75,9.75,000,9.75
2016-02-11,9.75,9.75,9.75,9.75,000,9.75
2016-02-10,9.75,9.75,9.75,9.75,000,9.75
2016-02-09,9.75,9.75,9.75,9.75,000,9.75
2016-02-08,9.75,9.75,9.75,9.75,000,9.75
2016-02-05,9.75,9.75,9.75,9.75,000,9.75
2016-02-04,9.75,9.75,9.75,9.75,000,9.75
2016-02-03,9.75,9.75,9.75,9.75,000,9.75
2016-02-02,9.75,9.75,9.75,9.75,000,9.75
2016-02-01,9.75,9.75,9.75,9.75,000,9.75
2016-01-29,9.75,9.75,9.75,9.75,000,9.75
2016-01-28,9.50,9.76,9.50,9.75,391900,9.75
2016-01-27,9.69,9.69,9.69,9.69,000,9.69
2016-01-26,9.69,9.69,9.69,9.69,000,9.69
2016-01-25,9.69,9.69,9.69,9.69,000,9.69
2016-01-22,9.69,9.69,9.69,9.69,1000,9.69
2016-01-21,9.60,9.61,9.60,9.61,25900,9.61
2016-01-20,9.60,9.60,9.50,9.60,5900,9.60
2016-01-19,9.63,9.64,9.60,9.60,273400,9.60
2016-01-15,9.66,9.66,9.66,9.66,000,9.66
2016-01-14,9.66,9.66,9.66,9.66,000,9.66
2016-01-13,9.63,9.66,9.63,9.66,353500,9.66
2016-01-12,9.62,9.62,9.60,9.60,5500,9.60
2016-01-11,9.90,9.90,9.90,9.90,000,9.90
2016-01-08,9.90,9.90,9.90,9.90,000,9.90
2016-01-07,9.90,9.90,9.90,9.90,000,9.90
2016-01-06,9.90,9.90,9.90,9.90,000,9.90
2016-01-05,9.90,9.90,9.90,9.90,000,9.90
2016-01-04,9.90,9.90,9.90,9.90,000,9.90
2015-12-31,9.90,9.90,9.90,9.90,100,9.90
2015-12-30,9.60,9.60,9.60,9.60,000,9.60
2015-12-29,9.60,9.60,9.60,9.60,000,9.60
2015-12-28,9.60,9.60,9.60,9.60,000,9.60
2015-12-24,9.60,9.60,9.60,9.60,000,9.60
2015-12-23,9.60,9.60,9.60,9.60,15000,9.60
2015-12-22,9.63,9.63,9.63,9.63,000,9.63
2015-12-21,9.63,9.63,9.63,9.63,000,9.63
2015-12-18,9.63,9.63,9.63,9.63,000,9.63
2015-12-17,9.63,9.63,9.63,9.63,000,9.63
2015-12-16,9.63,9.63,9.63,9.63,000,9.63
2015-12-15,9.63,9.63,9.63,9.63,000,9.63
2015-12-14,9.63,9.63,9.63,9.63,000,9.63
2015-12-11,9.63,9.63,9.63,9.63,000,9.63
2015-12-10,9.65,9.65,9.63,9.63,689800,9.63
2015-12-09,9.65,9.65,9.65,9.65,000,9.65
2015-12-08,9.65,9.65,9.65,9.65,455000,9.65
2015-12-07,9.62,9.62,9.62,9.62,000,9.62
2015-12-04,10.25,10.25,9.62,9.62,51100,9.62
2015-12-03,9.66,9.66,9.66,9.66,000,9.66
2015-12-02,9.66,9.66,9.66,9.66,000,9.66
2015-12-01,9.65,9.66,9.65,9.66,200100,9.66
2015-11-30,9.66,9.66,9.66,9.66,000,9.66
2015-11-27,9.66,9.66,9.66,9.66,000,9.66
2015-11-25,9.85,9.85,9.66,9.66,2100,9.66
2015-11-24,9.85,9.85,9.85,9.85,000,9.85
2015-11-23,9.85,9.85,9.85,9.85,000,9.85
2015-11-20,9.85,9.85,9.85,9.85,000,9.85
2015-11-19,9.85,9.85,9.85,9.85,000,9.85
2015-11-18,9.85,9.85,9.85,9.85,11000,9.85
2015-11-17,9.65,9.65,9.65,9.65,000,9.65
2015-11-16,9.65,9.65,9.65,9.65,000,9.65
2015-11-13,9.65,9.65,9.65,9.65,000,9.65
2015-11-12,9.65,9.65,9.65,9.65,000,9.65
2015-11-11,9.93,9.93,9.65,9.65,1500,9.65
2015-11-10,9.65,10.25,9.65,10.24,2202400,10.24
